Year,Material,Tons
1/1/2003,Gallium,0.000000
1/1/2003,Germanium,-0.000000
1/1/2003,Gold,-0.000000
1/1/2003,Graphite,-0.000000
1/1/2003,Hafnium,0.000001
1/1/2003,Helium,-0.000000
1/1/2003,Holmium (REE),-0.000000
1/1/2003,Indium,0.000002
1/1/2003,Iridium,-0.000000
1/1/2003,Iron,-5838.397695
1/1/2003,Lanthanum (REE),-0.000000
1/1/2003,Lead,-1.969484
1/1/2003,Lithium,-0.605521
1/1/2003,Lutetium (REE),-0.000000
1/1/2003,Magnesium,-0.696899
1/1/2003,Manganese,-170.901778
1/1/2003,Molybdenum,0.182855
1/1/2003,Neodymium (REE),-0.086695
1/1/2003,Nickel,-185.795917
1/1/2003,Niobium,0.039435
1/1/2003,Palladium,-0.000000
1/1/2003,Phosphate rock,-0.000000
1/1/2003,Phosphorus,-0.000000
1/1/2003,Platinum,-0.000000
1/1/2003,Praseodymium (REE),-0.000030
1/1/2003,Rhenium,-0.000000
1/1/2003,Rhodium,-0.000000
1/1/2003,Ruthenium,-0.000000
1/1/2003,Samarium (REE),-0.000000
1/1/2003,Scandium (REE),-0.000000
1/1/2003,Selenium,0.000004
1/1/2003,Silicon,0.199078
1/1/2003,Silver,0.000902
1/1/2003,Steel,477.280023
1/1/2003,Tantalum,-0.000006
1/1/2003,Tellurium,0.000002
1/1/2003,Terbium (REE),0.000020
1/1/2003,Thulium,-0.000000
1/1/2003,Tin,0.144150
1/1/2003,Titanium,-0.000000
1/1/2003,Tungsten,0.000078
1/1/2003,Vanadium,0.001789
1/1/2003,Yetterbium (REE),-0.000000
1/1/2003,Yttrium (REE),-0.000000
1/1/2003,Zinc,4.506244
1/1/2003,Zirconium,0.000028
1/1/2004,Aluminum,-2159.808593
1/1/2004,Antimony,-0.000000
1/1/2004,Arsenic,-0.000000
1/1/2004,Baryte,-0.000000
1/1/2004,Beryllium,-0.000000
1/1/2004,Bismuth,-0.000000
1/1/2004,Borate,-0.000000
1/1/2004,Boron,0.000067
1/1/2004,Cadmium,0.000124
1/1/2004,Cerium (REE),-0.000000
1/1/2004,Chromium,-1039.123394
1/1/2004,Cobalt,-47.895642
1/1/2004,Copper,-513.791076
1/1/2004,Dysprosium (REE),-0.014600
1/1/2004,Erbium (REE),-0.000000
1/1/2004,Europium (REE),-0.000000
1/1/2004,Fluorspar,-0.000000
1/1/2004,Gadolinium (REE),-0.000000
1/1/2004,Gallium,0.000001
1/1/2004,Germanium,-0.000000
1/1/2004,Gold,-0.000000
1/1/2004,Graphite,-0.000000
1/1/2004,Hafnium,0.000003
1/1/2004,Helium,-0.000000
1/1/2004,Holmium (REE),-0.000000
1/1/2004,Indium,0.000008
1/1/2004,Iridium,-0.000000
1/1/2004,Iron,-3414.852406
1/1/2004,Lanthanum (REE),-0.000000
1/1/2004,Lead,-1.105786
1/1/2004,Lithium,-0.354167
1/1/2004,Lutetium (REE),-0.000000
1/1/2004,Magnesium,-0.404691
1/1/2004,Manganese,-138.848589
1/1/2004,Molybdenum,-36.179764
1/1/2004,Neodymium (REE),-0.050707
1/1/2004,Nickel,-1335.692706
1/1/2004,Niobium,-1.020858
1/1/2004,Palladium,-0.000000
1/1/2004,Phosphate rock,-0.000000
1/1/2004,Phosphorus,-0.000000
1/1/2004,Platinum,-0.000000
1/1/2004,Praseodymium (REE),0.000149
1/1/2004,Rhenium,-0.000000
1/1/2004,Rhodium,-0.000000
1/1/2004,Ruthenium,-0.000000
1/1/2004,Samarium (REE),-0.000000
1/1/2004,Scandium (REE),-0.000000
1/1/2004,Selenium,0.000014
1/1/2004,Silicon,0.705296
1/1/2004,Silver,0.003196
1/1/2004,Steel,-277299.317641
1/1/2004,Tantalum,-0.010911
1/1/2004,Tellurium,0.000005
1/1/2004,Terbium (REE),0.000067
1/1/2004,Thulium,-0.000000
1/1/2004,Tin,0.489503
1/1/2004,Titanium,-0.000000
1/1/2004,Tungsten,0.000276
1/1/2004,Vanadium,0.006053
1/1/2004,Yetterbium (REE),-0.000000
1/1/2004,Yttrium (REE),-0.000000
1/1/2004,Zinc,16.381533
1/1/2004,Zirconium,0.000098
1/1/2005,Aluminum,-445.113670
1/1/2005,Antimony,-0.000000
1/1/2005,Arsenic,-0.000000
1/1/2005,Baryte,-0.000000
1/1/2005,Beryllium,-0.000000
1/1/2005,Bismuth,-0.000000
1/1/2005,Borate,-0.000000
1/1/2005,Boron,0.000166
1/1/2005,Cadmium,0.000327
1/1/2005,Cerium (REE),-0.000000
1/1/2005,Chromium,9.103404
1/1/2005,Cobalt,-0.442769
1/1/2005,Copper,-50.414547
1/1/2005,Dysprosium (REE),-0.000135
1/1/2005,Erbium (REE),-0.000000
1/1/2005,Europium (REE),-0.000000
1/1/2005,Fluorspar,-0.000000
1/1/2005,Gadolinium (REE),-0.000000
1/1/2005,Gallium,0.000003
1/1/2005,Germanium,-0.000000
1/1/2005,Gold,-0.000000
1/1/2005,Graphite,-0.000000
1/1/2005,Hafnium,0.000008
1/1/2005,Helium,-0.000000
1/1/2005,Holmium (REE),-0.000000
1/1/2005,Indium,0.000020
1/1/2005,Iridium,-0.000000
1/1/2005,Iron,-31.668869
1/1/2005,Lanthanum (REE),-0.000000
1/1/2005,Lead,0.128948
1/1/2005,Lithium,-0.003284
1/1/2005,Lutetium (REE),-0.000000
1/1/2005,Magnesium,0.005328
1/1/2005,Manganese,-0.498826
1/1/2005,Molybdenum,1.614880
1/1/2005,Neodymium (REE),-0.000470
1/1/2005,Nickel,0.678063
1/1/2005,Niobium,0.333132
1/1/2005,Palladium,-0.000000
1/1/2005,Phosphate rock,-0.000000
1/1/2005,Phosphorus,-0.000000
1/1/2005,Platinum,-0.000000
1/1/2005,Praseodymium (REE),0.000499
1/1/2005,Rhenium,-0.000000
1/1/2005,Rhodium,-0.000000
1/1/2005,Ruthenium,-0.000000
1/1/2005,Samarium (REE),-0.000000
1/1/2005,Scandium (REE),-0.000000
1/1/2005,Selenium,0.000040
1/1/2005,Silicon,1.908815
1/1/2005,Silver,0.008355
1/1/2005,Steel,-67054.400693
1/1/2005,Tantalum,-0.000028
1/1/2005,Tellurium,0.000015
1/1/2005,Terbium (REE),0.000166
1/1/2005,Thulium,-0.000000
1/1/2005,Tin,1.220798
1/1/2005,Titanium,-0.000000
1/1/2005,Tungsten,0.000681
1/1/2005,Vanadium,0.014996
1/1/2005,Yetterbium (REE),-0.000000
1/1/2005,Yttrium (REE),-0.000000
1/1/2005,Zinc,41.186309
1/1/2005,Zirconium,0.000241
1/1/2006,Aluminum,-592.484690
1/1/2006,Antimony,-0.000000
1/1/2006,Arsenic,-0.000000
1/1/2006,Baryte,-0.000000
1/1/2006,Beryllium,-0.000000
1/1/2006,Bismuth,-0.000000
1/1/2006,Borate,-0.000000
1/1/2006,Boron,0.000345
1/1/2006,Cadmium,0.000736
1/1/2006,Cerium (REE),-0.000000
1/1/2006,Chromium,23.827224
1/1/2006,Cobalt,1.757370
1/1/2006,Copper,-44.412279
1/1/2006,Dysprosium (REE),0.000535
1/1/2006,Erbium (REE),-0.000000
1/1/2006,Europium (REE),-0.000000
1/1/2006,Fluorspar,-0.000000
1/1/2006,Gadolinium (REE),-0.000000
1/1/2006,Gallium,0.000006
1/1/2006,Germanium,-0.000000
1/1/2006,Gold,-0.000000
1/1/2006,Graphite,-0.000000
1/1/2006,Hafnium,0.000016
1/1/2006,Helium,-0.000000
1/1/2006,Holmium (REE),-0.000000
1/1/2006,Indium,0.000042
1/1/2006,Iridium,-0.000000
1/1/2006,Iron,125.086562
1/1/2006,Lanthanum (REE),-0.000000
1/1/2006,Lead,0.336902
1/1/2006,Lithium,0.012973
1/1/2006,Lutetium (REE),-0.000000
1/1/2006,Magnesium,0.034328
1/1/2006,Manganese,4.610873
1/1/2006,Molybdenum,3.406128
1/1/2006,Neodymium (REE),0.001857
1/1/2006,Nickel,9.417021
1/1/2006,Niobium,0.692791
1/1/2006,Palladium,-0.000000
1/1/2006,Phosphate rock,-0.000000
1/1/2006,Phosphorus,-0.000000
1/1/2006,Platinum,-0.000000
1/1/2006,Praseodymium (REE),0.001038
1/1/2006,Rhenium,-0.000000
1/1/2006,Rhodium,-0.000000
1/1/2006,Ruthenium,-0.000000
1/1/2006,Samarium (REE),-0.000000
1/1/2006,Scandium (REE),-0.000000
1/1/2006,Selenium,0.000097
1/1/2006,Silicon,4.456088
1/1/2006,Silver,0.018609
1/1/2006,Steel,-93214.219462
1/1/2006,Tantalum,-0.000041
1/1/2006,Tellurium,0.000035
1/1/2006,Terbium (REE),0.000345
1/1/2006,Thulium,-0.000000
1/1/2006,Tin,2.557347
1/1/2006,Titanium,-0.000000
1/1/2006,Tungsten,0.001395
1/1/2006,Vanadium,0.031112
1/1/2006,Yetterbium (REE),-0.000000
1/1/2006,Yttrium (REE),-0.000000
1/1/2006,Zinc,85.521485
1/1/2006,Zirconium,0.000494
1/1/2007,Aluminum,-4285.850914
1/1/2007,Antimony,-0.000000
1/1/2007,Arsenic,-0.000000
1/1/2007,Baryte,-0.000000
1/1/2007,Beryllium,-0.000000
1/1/2007,Bismuth,-0.000000
1/1/2007,Borate,-0.000000
1/1/2007,Boron,0.000640
1/1/2007,Cadmium,-0.005740
1/1/2007,Cerium (REE),-0.000000
1/1/2007,Chromium,29.056581
1/1/2007,Cobalt,3.459280
1/1/2007,Copper,-1752.631061
1/1/2007,Dysprosium (REE),0.001053
1/1/2007,Erbium (REE),-0.000000
1/1/2007,Europium (REE),-0.000000
1/1/2007,Fluorspar,-0.000000
1/1/2007,Gadolinium (REE),-0.000000
1/1/2007,Gallium,0.000013
1/1/2007,Germanium,-0.000000
1/1/2007,Gold,-0.000000
1/1/2007,Graphite,-0.000000
1/1/2007,Hafnium,-0.000452
1/1/2007,Helium,-0.000000
1/1/2007,Holmium (REE),-0.000000
1/1/2007,Indium,-0.000884
1/1/2007,Iridium,-0.000000
1/1/2007,Iron,246.245117
1/1/2007,Lanthanum (REE),-0.000000
1/1/2007,Lead,0.500445
1/1/2007,Lithium,0.025539
1/1/2007,Lutetium (REE),-0.000000
1/1/2007,Magnesium,0.065437
1/1/2007,Manganese,9.066382
1/1/2007,Molybdenum,5.379886
1/1/2007,Neodymium (REE),0.003657
1/1/2007,Nickel,13.828175
1/1/2007,Niobium,1.235753
1/1/2007,Palladium,-0.000000
1/1/2007,Phosphate rock,-0.000000
1/1/2007,Phosphorus,-0.000000
1/1/2007,Platinum,-0.000000
1/1/2007,Praseodymium (REE),0.001924
1/1/2007,Rhenium,-0.000000
1/1/2007,Rhodium,-0.000000
1/1/2007,Ruthenium,-0.000000
1/1/2007,Samarium (REE),-0.000000
1/1/2007,Scandium (REE),-0.000000
1/1/2007,Selenium,0.000208
1/1/2007,Silicon,9.270680
1/1/2007,Silver,-0.155541
1/1/2007,Steel,-173799.313968
1/1/2007,Tantalum,-0.000049
1/1/2007,Tellurium,0.000074
1/1/2007,Terbium (REE),0.000640
1/1/2007,Thulium,-0.000000
1/1/2007,Tin,4.609542
1/1/2007,Titanium,-0.000000
1/1/2007,Tungsten,-0.039592
1/1/2007,Vanadium,0.057181
1/1/2007,Yetterbium (REE),-0.000000
1/1/2007,Yttrium (REE),-0.000000
1/1/2007,Zinc,158.633089
1/1/2007,Zirconium,-0.014027
1/1/2008,Aluminum,259.788193
1/1/2008,Antimony,-0.000000
1/1/2008,Arsenic,-0.000000
1/1/2008,Baryte,-0.000000
1/1/2008,Beryllium,-0.000000
1/1/2008,Bismuth,-0.000000
1/1/2008,Borate,-0.000000
1/1/2008,Boron,0.001096
1/1/2008,Cadmium,0.002720
1/1/2008,Cerium (REE),-0.000000
1/1/2008,Chromium,86.557357
1/1/2008,Cobalt,6.269969
1/1/2008,Copper,186.611849
1/1/2008,Dysprosium (REE),0.001908
1/1/2008,Erbium (REE),-0.000000
1/1/2008,Europium (REE),-0.000000
1/1/2008,Fluorspar,-0.000000
1/1/2008,Gadolinium (REE),-0.000000
1/1/2008,Gallium,0.000025
1/1/2008,Germanium,-0.000000
