Technology, Material, Tech Intensity
CoalCCS,Samarium (REE),0.000000
CoalCCS,Scandium (REE),0.000000
CoalCCS,Selenium,0.000000
CoalCCS,Silicon,0.000000
CoalCCS,Silver,0.000000
CoalCCS,Steel,52500.000000
CoalCCS,Tantalum,0.000000
CoalCCS,Tellurium,0.000000
CoalCCS,Terbium (REE),0.000000
CoalCCS,Thulium,0.000000
CoalCCS,Tin,0.000000
CoalCCS,Titanium,0.000000
CoalCCS,Tungsten,0.000000
CoalCCS,Vanadium,100.000000
CoalCCS,Yetterbium (REE),0.000000
CoalCCS,Yttrium (REE),0.000000
CoalCCS,Zinc,0.000000
CoalCCS,Zirconium,0.000000
NaturalGas,Aluminum,500.000000
NaturalGas,Antimony,0.000000
NaturalGas,Arsenic,0.000000
NaturalGas,Baryte,0.000000
NaturalGas,Beryllium,0.000000
NaturalGas,Bismuth,0.000000
NaturalGas,Borate,0.000000
NaturalGas,Boron,0.000000
NaturalGas,Cadmium,0.000000
NaturalGas,Cerium (REE),0.000000
NaturalGas,Chromium,0.000000
NaturalGas,Cobalt,0.000000
NaturalGas,Copper,90.000000
NaturalGas,Dysprosium (REE),0.000000
NaturalGas,Erbium (REE),0.000000
NaturalGas,Europium (REE),0.000000
NaturalGas,Fluorspar,0.000000
NaturalGas,Gadolinium (REE),0.000000
NaturalGas,Gallium,0.000000
NaturalGas,Germanium,0.000000
NaturalGas,Gold,0.000000
NaturalGas,Graphite,0.000000
NaturalGas,Hafnium,0.000000
NaturalGas,Helium,0.000000
NaturalGas,Holmium (REE),0.000000
NaturalGas,Indium,0.000000
NaturalGas,Iridium,0.000000
NaturalGas,Iron,0.000000
NaturalGas,Lanthanum (REE),0.000000
NaturalGas,Lead,0.000000
NaturalGas,Lithium,0.000000
NaturalGas,Lutetium (REE),0.000000
NaturalGas,Magnesium,0.000000
NaturalGas,Manganese,0.000000
NaturalGas,Molybdenum,0.000000
NaturalGas,Neodymium (REE),0.000000
NaturalGas,Nickel,0.000000
NaturalGas,Niobium,0.000000
NaturalGas,Palladium,0.000000
NaturalGas,Phosphate rock,0.000000
NaturalGas,Phosphorus,0.000000
NaturalGas,Platinum,0.000000
NaturalGas,Praseodymium (REE),0.000000
NaturalGas,Rhenium,0.000000
NaturalGas,Rhodium,0.000000
NaturalGas,Ruthenium,0.000000
NaturalGas,Samarium (REE),0.000000
NaturalGas,Scandium (REE),0.000000
NaturalGas,Selenium,0.000000
NaturalGas,Silicon,0.000000
NaturalGas,Silver,0.000000
NaturalGas,Steel,52500.000000
NaturalGas,Tantalum,0.000000
NaturalGas,Tellurium,0.000000
NaturalGas,Terbium (REE),0.000000
NaturalGas,Thulium,0.000000
NaturalGas,Tin,0.000000
NaturalGas,Titanium,0.000000
NaturalGas,Tungsten,0.000000
NaturalGas,Vanadium,0.000000
NaturalGas,Yetterbium (REE),0.000000
NaturalGas,Yttrium (REE),0.000000
NaturalGas,Zinc,0.000000
NaturalGas,Zirconium,0.000000
NaturalGasCCS,Aluminum,500.000000
NaturalGasCCS,Antimony,0.000000
NaturalGasCCS,Arsenic,0.000000
NaturalGasCCS,Baryte,0.000000
NaturalGasCCS,Beryllium,0.000000
NaturalGasCCS,Bismuth,0.000000
NaturalGasCCS,Borate,0.000000
NaturalGasCCS,Boron,0.000000
NaturalGasCCS,Cadmium,0.000000
NaturalGasCCS,Cerium (REE),0.000000
NaturalGasCCS,Chromium,326.000000
NaturalGasCCS,Cobalt,8.000000
NaturalGasCCS,Copper,782.000000
NaturalGasCCS,Dysprosium (REE),0.000000
NaturalGasCCS,Erbium (REE),0.000000
NaturalGasCCS,Europium (REE),0.000000
NaturalGasCCS,Fluorspar,0.000000
NaturalGasCCS,Gadolinium (REE),0.000000
NaturalGasCCS,Gallium,0.000000
NaturalGasCCS,Germanium,0.000000
NaturalGasCCS,Gold,0.000000
NaturalGasCCS,Graphite,0.000000
NaturalGasCCS,Hafnium,0.000000
NaturalGasCCS,Helium,0.000000
NaturalGasCCS,Holmium (REE),0.000000
NaturalGasCCS,Indium,0.000000
NaturalGasCCS,Iridium,0.000000
NaturalGasCCS,Iron,0.000000
NaturalGasCCS,Lanthanum (REE),0.000000
NaturalGasCCS,Lead,0.000000
NaturalGasCCS,Lithium,0.000000
NaturalGasCCS,Lutetium (REE),0.000000
NaturalGasCCS,Magnesium,0.000000
NaturalGasCCS,Manganese,3761.000000
NaturalGasCCS,Molybdenum,8.000000
NaturalGasCCS,Neodymium (REE),0.000000
NaturalGasCCS,Nickel,1145.000000
NaturalGasCCS,Niobium,100.000000
NaturalGasCCS,Palladium,0.000000
NaturalGasCCS,Phosphate rock,0.000000
NaturalGasCCS,Phosphorus,0.000000
NaturalGasCCS,Platinum,0.000000
NaturalGasCCS,Praseodymium (REE),0.000000
NaturalGasCCS,Rhenium,0.000000
NaturalGasCCS,Rhodium,0.000000
NaturalGasCCS,Ruthenium,0.000000
NaturalGasCCS,Samarium (REE),0.000000
NaturalGasCCS,Scandium (REE),0.000000
NaturalGasCCS,Selenium,0.000000
NaturalGasCCS,Silicon,0.000000
NaturalGasCCS,Silver,0.000000
NaturalGasCCS,Steel,52500.000000
NaturalGasCCS,Tantalum,0.000000
NaturalGasCCS,Tellurium,0.000000
NaturalGasCCS,Terbium (REE),0.000000
NaturalGasCCS,Thulium,0.000000
NaturalGasCCS,Tin,0.000000
NaturalGasCCS,Titanium,0.000000
NaturalGasCCS,Tungsten,0.000000
NaturalGasCCS,Vanadium,100.000000
NaturalGasCCS,Yetterbium (REE),0.000000
NaturalGasCCS,Yttrium (REE),0.000000
NaturalGasCCS,Zinc,0.000000
NaturalGasCCS,Zirconium,0.000000
Nuclear,Aluminum,0.000000
Nuclear,Antimony,0.000000
Nuclear,Arsenic,0.000000
Nuclear,Baryte,0.000000
Nuclear,Beryllium,0.000000
Nuclear,Bismuth,0.000000
Nuclear,Borate,0.000000
Nuclear,Boron,0.000000
Nuclear,Cadmium,1.000000
Nuclear,Cerium (REE),0.000000
Nuclear,Chromium,427.000000
Nuclear,Cobalt,0.000000
Nuclear,Copper,60.000000
Nuclear,Dysprosium (REE),0.000000
Nuclear,Erbium (REE),0.000000
Nuclear,Europium (REE),0.000000
Nuclear,Fluorspar,0.000000
Nuclear,Gadolinium (REE),0.000000
Nuclear,Gallium,0.000000
Nuclear,Germanium,0.000000
Nuclear,Gold,0.000000
Nuclear,Graphite,0.000000
Nuclear,Hafnium,1.000000
Nuclear,Helium,0.000000
Nuclear,Holmium (REE),0.000000
Nuclear,Indium,2.000000
Nuclear,Iridium,0.000000
Nuclear,Iron,0.000000
Nuclear,Lanthanum (REE),0.000000
Nuclear,Lead,4.000000
Nuclear,Lithium,0.000000
Nuclear,Lutetium (REE),0.000000
Nuclear,Magnesium,0.000000
Nuclear,Manganese,0.000000
Nuclear,Molybdenum,71.000000
Nuclear,Neodymium (REE),0.000000
Nuclear,Nickel,256.000000
Nuclear,Niobium,2.000000
Nuclear,Palladium,0.000000
Nuclear,Phosphate rock,0.000000
Nuclear,Phosphorus,0.000000
Nuclear,Platinum,0.000000
Nuclear,Praseodymium (REE),0.000000
Nuclear,Rhenium,0.000000
