Year,Technolgy,Energy
1/1/2008,BiomassCCS,0.000000
1/1/2008,Hydro,833.562000
1/1/2008,Geothermal,9.373300
1/1/2008,WindOnshore,116.207530
1/1/2008,WindOffshore,0.000000
1/1/2008,SolarPV,14.081800
1/1/2008,SolarCSP,0.000000
1/1/2008,Ocean,1.193500
1/1/2008,Stationary Li-ion batteries,2.902924
1/1/2008,EV Li-ion batteries,0.587612
1/1/2009,Oil,433.520563
1/1/2009,Coal,1566.748950
1/1/2009,CoalCCS,0.000000
1/1/2009,NaturalGas,1311.836717
1/1/2009,NaturalGasCCS,0.000000
1/1/2009,Nuclear,370.934700
1/1/2009,BiomassAndWaste,67.971380
1/1/2009,BiomassCCS,0.000000
1/1/2009,Hydro,863.166700
1/1/2009,Geothermal,9.866300
1/1/2009,WindOnshore,149.954350
1/1/2009,WindOffshore,0.000000
1/1/2009,SolarPV,21.853900
1/1/2009,SolarCSP,0.000000
1/1/2009,Ocean,1.224000
1/1/2009,Stationary Li-ion batteries,3.265789
1/1/2009,EV Li-ion batteries,1.613681
1/1/2010,Oil,438.640455
1/1/2010,Coal,1628.329519
1/1/2010,CoalCCS,0.000000
1/1/2010,NaturalGas,1370.852966
1/1/2010,NaturalGasCCS,0.000000
1/1/2010,Nuclear,375.220400
1/1/2010,BiomassAndWaste,74.519780
1/1/2010,BiomassCCS,0.000000
1/1/2010,Hydro,892.286700
1/1/2010,Geothermal,10.108000
1/1/2010,WindOnshore,180.394370
1/1/2010,WindOffshore,0.000000
1/1/2010,SolarPV,38.266400
1/1/2010,SolarCSP,0.000000
1/1/2010,Ocean,1.240000
1/1/2010,Stationary Li-ion batteries,3.628655
1/1/2010,EV Li-ion batteries,1.750292
1/1/2011,Oil,444.486307
1/1/2011,Coal,1713.500653
1/1/2011,CoalCCS,0.000000
1/1/2011,NaturalGas,1420.075538
1/1/2011,NaturalGasCCS,0.000000
1/1/2011,Nuclear,368.711800
1/1/2011,BiomassAndWaste,81.338400
1/1/2011,BiomassCCS,0.000000
1/1/2011,Hydro,917.516600
1/1/2011,Geothermal,10.035600
1/1/2011,WindOnshore,219.861070
1/1/2011,WindOffshore,0.000000
1/1/2011,SolarPV,67.990300
1/1/2011,SolarCSP,0.000000
1/1/2011,Ocean,1.268300
1/1/2011,Stationary Li-ion batteries,3.991520
1/1/2011,EV Li-ion batteries,6.766374
1/1/2012,Oil,441.626728
1/1/2012,Coal,1772.576138
1/1/2012,CoalCCS,0.000000
1/1/2012,NaturalGas,1473.350752
1/1/2012,NaturalGasCCS,0.000000
1/1/2012,Nuclear,372.617000
1/1/2012,BiomassAndWaste,87.550600
1/1/2012,BiomassCCS,0.000000
1/1/2012,Hydro,945.301000
1/1/2012,Geothermal,10.486500
1/1/2012,WindOnshore,268.373100
1/1/2012,WindOffshore,0.000000
1/1/2012,SolarPV,95.280100
1/1/2012,SolarCSP,0.000000
1/1/2012,Ocean,1.189700
1/1/2012,Stationary Li-ion batteries,13.721800
1/1/2012,EV Li-ion batteries,0.878198
1/1/2013,Oil,438.610258
1/1/2013,Coal,1821.156142
1/1/2013,CoalCCS,0.000000
1/1/2013,NaturalGas,1512.548369
1/1/2013,NaturalGasCCS,0.000000
1/1/2013,Nuclear,371.953300
1/1/2013,BiomassAndWaste,94.646000
1/1/2013,BiomassCCS,0.000000
1/1/2013,Hydro,990.116000
1/1/2013,Geothermal,10.778400
1/1/2013,WindOnshore,302.588700
1/1/2013,WindOffshore,0.000000
1/1/2013,SolarPV,131.174200
1/1/2013,SolarCSP,0.000000
1/1/2013,Ocean,1.587700
1/1/2013,Stationary Li-ion batteries,13.721800
1/1/2013,EV Li-ion batteries,7.793987
1/1/2014,Oil,441.586834
1/1/2014,Coal,1889.093867
1/1/2014,CoalCCS,0.000000
1/1/2014,NaturalGas,1574.537682
1/1/2014,NaturalGasCCS,0.000000
1/1/2014,Nuclear,333.758300
1/1/2014,BiomassAndWaste,100.973100
1/1/2014,BiomassCCS,0.000000
1/1/2014,Hydro,1027.307300
1/1/2014,Geothermal,11.370700
1/1/2014,WindOnshore,340.233800
1/1/2014,WindOffshore,9.000000
1/1/2014,SolarPV,169.951900
1/1/2014,SolarCSP,4.000000
1/1/2014,Ocean,1.693400
1/1/2014,Stationary Li-ion batteries,13.721800
1/1/2014,EV Li-ion batteries,15.093986
1/1/2015,Oil,441.389956
1/1/2015,Coal,1963.899891
1/1/2015,CoalCCS,0.000000
1/1/2015,NaturalGas,1614.941119
1/1/2015,NaturalGasCCS,0.000000
1/1/2015,Nuclear,343.215000
1/1/2015,BiomassAndWaste,106.749700
1/1/2015,BiomassCCS,0.000000
1/1/2015,Hydro,1058.605200
1/1/2015,Geothermal,11.823900
1/1/2015,WindOnshore,405.765700
1/1/2015,WindOffshore,9.000000
1/1/2015,SolarPV,217.075133
1/1/2015,SolarCSP,4.376667
1/1/2015,Ocean,1.669100
1/1/2015,Stationary Li-ion batteries,13.721800
1/1/2015,EV Li-ion batteries,18.936091
1/1/2016,Oil,445.971437
1/1/2016,Coal,2025.071006
1/1/2016,CoalCCS,0.000000
1/1/2016,NaturalGas,1643.629117
1/1/2016,NaturalGasCCS,0.000000
1/1/2016,Nuclear,352.823800
1/1/2016,BiomassAndWaste,116.251700
1/1/2016,BiomassCCS,0.000000
1/1/2016,Hydro,1086.705900
1/1/2016,Geothermal,12.247000
1/1/2016,WindOnshore,458.806900
1/1/2016,WindOffshore,9.000000
1/1/2016,SolarPV,290.315967
1/1/2016,SolarCSP,4.753333
1/1/2016,Ocean,1.742800
1/1/2016,Stationary Li-ion batteries,13.721800
1/1/2016,EV Li-ion batteries,28.925564
1/1/2017,Oil,446.606578
1/1/2017,Coal,2066.738330
1/1/2017,CoalCCS,0.000000
1/1/2017,NaturalGas,1694.772895
1/1/2017,NaturalGasCCS,0.000000
1/1/2017,Nuclear,353.684900
1/1/2017,BiomassAndWaste,123.342000
1/1/2017,BiomassCCS,0.000000
1/1/2017,Hydro,1100.656500
1/1/2017,Geothermal,12.740700
1/1/2017,WindOnshore,505.712200
1/1/2017,WindOffshore,9.000000
1/1/2017,SolarPV,382.112900
1/1/2017,SolarCSP,5.130000
1/1/2017,Ocean,1.834800
1/1/2017,Stationary Li-ion batteries,13.721800
1/1/2017,EV Li-ion batteries,62.351876
1/1/2018,Oil,442.173907
1/1/2018,Coal,2025.006537
1/1/2018,CoalCCS,0.725471
1/1/2018,NaturalGas,1731.288569
1/1/2018,NaturalGasCCS,0.221266
1/1/2018,Nuclear,376.441978
1/1/2018,BiomassAndWaste,150.409796
1/1/2018,BiomassCCS,0.077830
1/1/2018,Hydro,1139.883184
1/1/2018,Geothermal,15.483091
1/1/2018,WindOnshore,586.887107
1/1/2018,WindOffshore,15.673900
1/1/2018,SolarPV,428.467655
1/1/2018,SolarCSP,16.542020
1/1/2018,Ocean,1.920054
1/1/2018,Stationary Li-ion batteries,13.721800
1/1/2018,EV Li-ion batteries,81.109263
1/1/2019,Oil,437.741236
1/1/2019,Coal,1983.274744
1/1/2019,CoalCCS,1.450943
1/1/2019,NaturalGas,1767.804243
1/1/2019,NaturalGasCCS,0.442531
1/1/2019,Nuclear,399.199056
1/1/2019,BiomassAndWaste,177.477592
1/1/2019,BiomassCCS,0.155661
1/1/2019,Hydro,1179.109867
1/1/2019,Geothermal,18.225482
1/1/2019,WindOnshore,668.062013
1/1/2019,WindOffshore,22.347799
1/1/2019,SolarPV,474.822410
1/1/2019,SolarCSP,27.954040
1/1/2019,Ocean,2.005308
1/1/2019,Stationary Li-ion batteries,13.721800
1/1/2019,EV Li-ion batteries,104.491633
1/1/2020,Oil,433.308565
1/1/2020,Coal,1941.542951
1/1/2020,CoalCCS,2.176414
1/1/2020,NaturalGas,1804.319917
1/1/2020,NaturalGasCCS,0.663797
1/1/2020,Nuclear,421.956134
1/1/2020,BiomassAndWaste,204.545388
1/1/2020,BiomassCCS,0.233491
1/1/2020,Hydro,1218.336551
1/1/2020,Geothermal,20.967873
1/1/2020,WindOnshore,749.236920
1/1/2020,WindOffshore,29.021699
1/1/2020,SolarPV,521.177164
