Year,Material,Tons
1/1/2003,Holmium (REE),0.000000
1/1/2003,Indium,4.581260
1/1/2003,Iridium,0.000000
1/1/2003,Iron,10870.362095
1/1/2003,Lanthanum (REE),0.000000
1/1/2003,Lead,6145.673201
1/1/2003,Lithium,123.731902
1/1/2003,Lutetium (REE),0.000000
1/1/2003,Magnesium,1966.679821
1/1/2003,Manganese,5424.452009
1/1/2003,Molybdenum,8585.941172
1/1/2003,Neodymium (REE),17.715161
1/1/2003,Nickel,20910.029988
1/1/2003,Niobium,313.647841
1/1/2003,Palladium,0.000000
1/1/2003,Phosphate rock,0.000000
1/1/2003,Phosphorus,0.000000
1/1/2003,Platinum,0.000000
1/1/2003,Praseodymium (REE),23.130298
1/1/2003,Rhenium,0.000000
1/1/2003,Rhodium,0.000000
1/1/2003,Ruthenium,0.000000
1/1/2003,Samarium (REE),0.000000
1/1/2003,Scandium (REE),0.000000
1/1/2003,Selenium,0.966323
1/1/2003,Silicon,2856.008008
1/1/2003,Silver,29.689907
1/1/2003,Steel,11840475.007119
1/1/2003,Tantalum,8.383386
1/1/2003,Tellurium,1.832792
1/1/2003,Terbium (REE),7.704005
1/1/2003,Thulium,0.000000
1/1/2003,Tin,863.101350
1/1/2003,Titanium,0.000000
1/1/2003,Tungsten,10.225523
1/1/2003,Vanadium,696.365641
1/1/2003,Yetterbium (REE),0.000000
1/1/2003,Yttrium (REE),2.045089
1/1/2003,Zinc,50893.231939
1/1/2003,Zirconium,63.397786
1/1/2004,Aluminum,151428.475561
1/1/2004,Antimony,0.000000
1/1/2004,Arsenic,0.000000
1/1/2004,Baryte,0.000000
1/1/2004,Beryllium,0.000000
1/1/2004,Bismuth,0.000000
1/1/2004,Borate,0.000000
1/1/2004,Boron,8.501593
1/1/2004,Cadmium,8.340643
1/1/2004,Cerium (REE),0.000000
1/1/2004,Chromium,33335.696502
1/1/2004,Cobalt,206.071346
1/1/2004,Copper,57321.553867
1/1/2004,Dysprosium (REE),5.132310
1/1/2004,Erbium (REE),0.000000
1/1/2004,Europium (REE),0.000000
1/1/2004,Fluorspar,0.000000
1/1/2004,Gadolinium (REE),0.000000
1/1/2004,Gallium,0.651518
1/1/2004,Germanium,0.000000
1/1/2004,Gold,0.000000
1/1/2004,Graphite,0.000000
1/1/2004,Hafnium,4.655318
1/1/2004,Helium,0.000000
1/1/2004,Holmium (REE),0.000000
1/1/2004,Indium,10.373639
1/1/2004,Iridium,0.000000
1/1/2004,Iron,13363.336547
1/1/2004,Lanthanum (REE),0.000000
1/1/2004,Lead,4867.208352
1/1/2004,Lithium,124.499910
1/1/2004,Lutetium (REE),0.000000
1/1/2004,Magnesium,1507.593773
1/1/2004,Manganese,4019.350057
1/1/2004,Molybdenum,6916.002058
1/1/2004,Neodymium (REE),17.825120
1/1/2004,Nickel,5997.423270
1/1/2004,Niobium,331.317096
1/1/2004,Palladium,0.000000
1/1/2004,Phosphate rock,0.000000
1/1/2004,Phosphorus,0.000000
1/1/2004,Platinum,0.000000
1/1/2004,Praseodymium (REE),25.520754
1/1/2004,Rhenium,0.000000
1/1/2004,Rhodium,0.000000
1/1/2004,Ruthenium,0.000000
1/1/2004,Samarium (REE),0.000000
1/1/2004,Scandium (REE),0.000000
1/1/2004,Selenium,2.091726
1/1/2004,Silicon,5990.898621
1/1/2004,Silver,65.202436
1/1/2004,Steel,11530672.527459
1/1/2004,Tantalum,-0.010911
1/1/2004,Tellurium,3.897003
1/1/2004,Terbium (REE),8.500786
1/1/2004,Thulium,0.000000
1/1/2004,Tin,1123.665973
1/1/2004,Titanium,0.000000
1/1/2004,Tungsten,23.276850
1/1/2004,Vanadium,771.743162
1/1/2004,Yetterbium (REE),0.000000
1/1/2004,Yttrium (REE),4.655315
1/1/2004,Zinc,54285.683406
1/1/2004,Zirconium,144.314861
1/1/2005,Aluminum,186626.038034
1/1/2005,Antimony,0.000000
1/1/2005,Arsenic,0.000000
1/1/2005,Baryte,0.000000
1/1/2005,Beryllium,0.000000
1/1/2005,Bismuth,0.000000
1/1/2005,Borate,0.000000
1/1/2005,Boron,12.342649
1/1/2005,Cadmium,8.869653
1/1/2005,Cerium (REE),0.000000
1/1/2005,Chromium,58848.260260
1/1/2005,Cobalt,262.022476
1/1/2005,Copper,78328.325083
1/1/2005,Dysprosium (REE),5.190197
1/1/2005,Erbium (REE),0.000000
1/1/2005,Europium (REE),0.000000
1/1/2005,Fluorspar,0.000000
1/1/2005,Gadolinium (REE),0.000000
1/1/2005,Gallium,0.945219
1/1/2005,Germanium,0.000000
1/1/2005,Gold,0.000000
1/1/2005,Graphite,0.000000
1/1/2005,Hafnium,3.613786
1/1/2005,Helium,0.000000
1/1/2005,Holmium (REE),0.000000
1/1/2005,Indium,8.769773
1/1/2005,Iridium,0.000000
1/1/2005,Iron,16888.069389
1/1/2005,Lanthanum (REE),0.000000
1/1/2005,Lead,4323.984691
1/1/2005,Lithium,125.904125
1/1/2005,Lutetium (REE),0.000000
1/1/2005,Magnesium,1211.949365
1/1/2005,Manganese,5480.077818
1/1/2005,Molybdenum,10248.883002
1/1/2005,Neodymium (REE),18.026167
1/1/2005,Nickel,56471.635244
1/1/2005,Niobium,526.548682
1/1/2005,Palladium,0.000000
1/1/2005,Phosphate rock,0.000000
1/1/2005,Phosphorus,0.000000
1/1/2005,Platinum,0.000000
1/1/2005,Praseodymium (REE),37.043139
1/1/2005,Rhenium,0.000000
1/1/2005,Rhodium,0.000000
1/1/2005,Ruthenium,0.000000
1/1/2005,Samarium (REE),0.000000
1/1/2005,Scandium (REE),0.000000
1/1/2005,Selenium,3.034684
1/1/2005,Silicon,8430.442909
1/1/2005,Silver,68.255239
1/1/2005,Steel,13150463.241881
1/1/2005,Tantalum,25.008402
1/1/2005,Tellurium,5.557606
1/1/2005,Terbium (REE),12.341512
1/1/2005,Thulium,0.000000
1/1/2005,Tin,1601.908528
1/1/2005,Titanium,0.000000
1/1/2005,Tungsten,18.069574
1/1/2005,Vanadium,1117.192639
