Year,Material,USD Low, USD Med, USD High
1/1/2002,Phosphate rock,0.000000,0.000000,0.000000
1/1/2002,Phosphorus,0.000000,0.000000,0.000000
1/1/2002,Platinum,0.000000,0.000000,0.000000
1/1/2002,Praseodymium (REE),365944.669721,1680208.812121,2113069.078591
1/1/2002,Rhenium,0.000000,0.000000,0.000000
1/1/2002,Rhodium,0.000000,0.000000,0.000000
1/1/2002,Ruthenium,0.000000,0.000000,0.000000
1/1/2002,Samarium (REE),0.000000,0.000000,0.000000
1/1/2002,Scandium (REE),0.000000,0.000000,0.000000
1/1/2002,Selenium,19933.668065,24917.085082,29900.502098
1/1/2002,Silicon,307299.099831,384123.874789,460948.649747
1/1/2002,Silver,21241932.455747,26552415.569683,31862898.683620
1/1/2002,Steel,5123260663.197992,6404075828.997489,7684890994.796988
1/1/2002,Tantalum,406410.895191,508013.618989,609616.342786
1/1/2002,Tellurium,61152.890448,76441.113061,91729.335673
1/1/2002,Terbium (REE),3760721.359542,4666080.205358,5989296.980012
1/1/2002,Thulium,0.000000,0.000000,0.000000
1/1/2002,Tin,11239772.774567,14049715.968208,16859659.161850
1/1/2002,Titanium,0.000000,0.000000,0.000000
1/1/2002,Tungsten,579529.519553,724411.899442,869294.279330
1/1/2002,Vanadium,13168052.202261,16460065.252826,19752078.303392
1/1/2002,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2002,Yttrium (REE),158297.353245,214640.478977,321960.718465
1/1/2002,Zinc,95121947.803304,118902434.754130,142682921.704955
1/1/2002,Zirconium,2129233.598963,2661541.998703,3193850.398444
1/1/2003,Aluminum,296662081.073777,370827601.342221,444993121.610665
1/1/2003,Antimony,0.000000,0.000000,0.000000
1/1/2003,Arsenic,0.000000,0.000000,0.000000
1/1/2003,Baryte,0.000000,0.000000,0.000000
1/1/2003,Beryllium,0.000000,0.000000,0.000000
1/1/2003,Bismuth,0.000000,0.000000,0.000000
1/1/2003,Borate,0.000000,0.000000,0.000000
1/1/2003,Boron,2323.643804,2904.554756,3485.465707
1/1/2003,Cadmium,7858.876054,9823.595068,11788.314081
1/1/2003,Cerium (REE),0.000000,0.000000,0.000000
1/1/2003,Chromium,404443474.197560,505554342.746951,606665211.296340
1/1/2003,Cobalt,4789323.608670,5986654.510837,7183985.413005
1/1/2003,Copper,315164322.961213,393955403.701517,472746484.441820
1/1/2003,Dysprosium (REE),515165.670755,1331269.703635,2040260.082199
1/1/2003,Erbium (REE),0.000000,0.000000,0.000000
1/1/2003,Europium (REE),0.000000,0.000000,0.000000
1/1/2003,Fluorspar,0.000000,0.000000,0.000000
1/1/2003,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2003,Gallium,36118.191735,45147.739669,54177.287603
1/1/2003,Germanium,0.000000,0.000000,0.000000
1/1/2003,Gold,0.000000,0.000000,0.000000
1/1/2003,Graphite,0.000000,0.000000,0.000000
1/1/2003,Hafnium,1357939.676922,1697424.596153,2036909.515383
1/1/2003,Helium,0.000000,0.000000,0.000000
1/1/2003,Holmium (REE),0.000000,0.000000,0.000000
1/1/2003,Indium,1099502.502449,1374378.128061,1649253.753673
1/1/2003,Iridium,0.000000,0.000000,0.000000
1/1/2003,Iron,975288.887168,1219111.108960,1462933.330752
1/1/2003,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2003,Lead,10351245.870485,12939057.338106,15526868.805728
1/1/2003,Lithium,1286811.778295,1608514.722869,1930217.667443
1/1/2003,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2003,Magnesium,8151195.587634,10188994.484542,12226793.381450
1/1/2003,Manganese,27686.403056,34608.003819,41529.604583
1/1/2003,Molybdenum,178587576.369880,223234470.462350,267881364.554820
1/1/2003,Neodymium (REE),314444.116029,912330.815520,1470358.401712
1/1/2003,Nickel,234192335.866244,292740419.832805,351288503.799366
1/1/2003,Niobium,5771120.276076,7213900.345095,8656680.414114
1/1/2003,Palladium,0.000000,0.000000,0.000000
1/1/2003,Phosphate rock,0.000000,0.000000,0.000000
1/1/2003,Phosphorus,0.000000,0.000000,0.000000
1/1/2003,Platinum,0.000000,0.000000,0.000000
1/1/2003,Praseodymium (REE),404780.208375,1858519.413881,2337316.574645
1/1/2003,Rhenium,0.000000,0.000000,0.000000
1/1/2003,Rhodium,0.000000,0.000000,0.000000
1/1/2003,Ruthenium,0.000000,0.000000,0.000000
1/1/2003,Samarium (REE),0.000000,0.000000,0.000000
1/1/2003,Scandium (REE),0.000000,0.000000,0.000000
1/1/2003,Selenium,34085.698452,42607.123065,51128.547678
1/1/2003,Silicon,508745.504628,635931.880785,763118.256942
1/1/2003,Silver,12371100.372993,15463875.466242,18556650.559490
1/1/2003,Steel,4859330942.921666,6074163678.652081,7288996414.382500
1/1/2003,Tantalum,1086486.768468,1358108.460584,1629730.152701
1/1/2003,Tellurium,102636.341555,128295.426943,153954.512332
1/1/2003,Terbium (REE),4160162.829788,5161683.511033,6625444.506699
1/1/2003,Thulium,0.000000,0.000000,0.000000
1/1/2003,Tin,12938994.010844,16173742.513555,19408491.016266
1/1/2003,Titanium,0.000000,0.000000,0.000000
1/1/2003,Tungsten,220871.292201,276089.115251,331306.938301
1/1/2003,Vanadium,14492360.614535,18115450.768169,21738540.921802
1/1/2003,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2003,Yttrium (REE),60330.125058,81803.559401,122705.339102
1/1/2003,Zinc,108608844.119683,135761055.149604,162913266.179524
1/1/2003,Zirconium,811491.662353,1014364.577942,1217237.493530
1/1/2004,Aluminum,267071373.777356,333839217.221695,400607060.666034
1/1/2004,Antimony,0.000000,0.000000,0.000000
1/1/2004,Arsenic,0.000000,0.000000,0.000000
1/1/2004,Baryte,0.000000,0.000000,0.000000
1/1/2004,Beryllium,0.000000,0.000000,0.000000
1/1/2004,Bismuth,0.000000,0.000000,0.000000
1/1/2004,Borate,0.000000,0.000000,0.000000
1/1/2004,Boron,2564.080470,3205.100588,3846.120706
1/1/2004,Cadmium,17348.537097,21685.671372,26022.805646
1/1/2004,Cerium (REE),0.000000,0.000000,0.000000
1/1/2004,Chromium,293354129.220092,366692661.525115,440031193.830139
1/1/2004,Cobalt,5815102.576225,7268878.220282,8722653.864338
1/1/2004,Copper,278016414.840478,347520518.550598,417024622.260717
1/1/2004,Dysprosium (REE),518363.322580,1339532.942509,2052924.049822
1/1/2004,Erbium (REE),0.000000,0.000000,0.000000
1/1/2004,Europium (REE),0.000000,0.000000,0.000000
1/1/2004,Fluorspar,0.000000,0.000000,0.000000
1/1/2004,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2004,Gallium,78182.106051,97727.632563,117273.159076
1/1/2004,Germanium,0.000000,0.000000,0.000000
1/1/2004,Gold,0.000000,0.000000,0.000000
1/1/2004,Graphite,0.000000,0.000000,0.000000
1/1/2004,Hafnium,3091131.216901,3863914.021126,4636696.825351
1/1/2004,Helium,0.000000,0.000000,0.000000
1/1/2004,Holmium (REE),0.000000,0.000000,0.000000
